,bins_prw,bins_qivi,bins_cllvi,bins_qrvi,bins_qsvi,bins_qgvi
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9628441,0.05000683,0.2500719,1.0836376,0.22578146,0.56807655
2,1.9256881,0.10001366,0.5001438,2.1672752,0.4515629,1.1361531
3,2.8885322,0.15002048,0.75021577,3.2509127,0.6773444,1.7042297
4,3.8513763,0.20002732,1.0002877,4.3345504,0.9031258,2.2723062
5,4.8142204,0.25003415,1.2503597,5.4181876,1.1289073,2.8403828
6,5.7770643,0.30004096,1.5004315,6.5018253,1.3546888,3.4084594
7,6.7399087,0.3500478,1.7505035,7.5854626,1.5804702,3.9765358
8,7.7027526,0.40005463,2.0005753,8.669101,1.8062516,4.5446124
9,8.665597,0.45006144,2.2506473,9.752738,2.0320332,5.112689
10,9.628441,0.5000683,2.5007193,10.836375,2.2578146,5.6807656
11,10.591285,0.5500751,2.750791,11.920013,2.483596,6.2488422
12,11.554129,0.6000819,3.000863,13.003651,2.7093775,6.816919
13,12.5169735,0.6500888,3.250935,14.087288,2.935159,7.384995
14,13.479817,0.7000956,3.501007,15.170925,3.1609404,7.9530716
15,14.442661,0.7501024,3.7510788,16.254562,3.3867218,8.521149
16,15.405505,0.80010927,4.0011506,17.338202,3.6125033,9.089225
17,16.36835,0.8501161,4.2512226,18.421839,3.8382847,9.657301
18,17.331194,0.9001229,4.5012946,19.505476,4.0640664,10.225378
19,18.294037,0.95012975,4.7513666,20.589113,4.289848,10.793454
20,19.256882,1.0001366,5.0014386,21.67275,4.5156293,11.361531
21,20.219727,1.0501434,5.2515106,22.756388,4.7414107,11.929607
22,21.18257,1.1001502,5.501582,23.840027,4.967192,12.4976845
23,22.145414,1.1501571,5.751654,24.923664,5.1929736,13.065761
24,23.108257,1.2001638,6.001726,26.007301,5.418755,13.633838
25,24.071102,1.2501707,6.251798,27.090939,5.6445365,14.201914
26,25.033947,1.3001776,6.50187,28.174576,5.870318,14.76999
27,25.99679,1.3501843,6.751942,29.258213,6.0960994,15.338067
28,26.959635,1.4001912,7.002014,30.34185,6.321881,15.906143
29,27.922478,1.450198,7.2520857,31.42549,6.5476623,16.47422
30,28.885323,1.5002048,7.5021577,32.509125,6.7734437,17.042297
31,29.848167,1.5502117,7.7522297,33.592762,6.999225,17.610373
32,30.81101,1.6002185,8.002301,34.676403,7.2250066,18.17845
33,31.773855,1.6502253,8.252374,35.76004,7.450788,18.746527
34,32.7367,1.7002321,8.502445,36.843678,7.6765695,19.314602
35,33.699543,1.750239,8.752518,37.927315,7.902351,19.882679
36,34.662388,1.8002458,9.002589,39.010952,8.128133,20.450756
37,35.625233,1.8502526,9.252662,40.09459,8.353914,21.018833
38,36.588074,1.9002595,9.502733,41.178226,8.579696,21.586908
39,37.55092,1.9502664,9.752805,42.261864,8.805477,22.154985
40,38.513763,2.0002732,10.002877,43.3455,9.031259,22.723063
41,39.47661,2.0502799,10.252949,44.42914,9.25704,23.29114
42,40.439453,2.1002867,10.503021,45.512775,9.482821,23.859215
43,41.402294,2.1502936,10.753093,46.596413,9.708603,24.427292
44,42.36514,2.2003005,11.003164,47.680054,9.934384,24.995369
45,43.327984,2.2503073,11.253237,48.76369,10.160166,25.563444
46,44.29083,2.3003142,11.503308,49.84733,10.385947,26.131521
47,45.253674,2.3503208,11.753381,50.930965,10.611729,26.699598
48,46.216515,2.4003277,12.003452,52.014603,10.83751,27.267675
49,47.17936,2.4503345,12.253525,53.09824,11.063292,27.83575
50,48.142204,2.5003414,12.503596,54.181877,11.289073,28.403828
51,49.10505,2.5503483,12.753668,55.265514,11.514854,28.971905
52,50.067894,2.6003551,13.00374,56.34915,11.740636,29.53998
53,51.030735,2.650362,13.253812,57.43279,11.966417,30.108057
54,51.99358,2.7003686,13.503884,58.516426,12.192199,30.676134
55,52.956425,2.7503755,13.753956,59.600063,12.41798,31.244211
56,53.91927,2.8003824,14.004028,60.6837,12.643762,31.812286
57,54.882114,2.8503892,14.2541,61.76734,12.869543,32.380363
58,55.844955,2.900396,14.504171,62.85098,13.0953245,32.94844
59,56.8078,2.950403,14.754244,63.934616,13.321106,33.516518
60,57.770645,3.0004096,15.004315,65.01825,13.546887,34.084595
61,58.73349,3.0504165,15.254388,66.10189,13.772669,34.652668
62,59.696335,3.1004233,15.504459,67.185524,13.99845,35.220745
63,60.659176,3.1504302,15.754531,68.269165,14.224232,35.788822
64,61.62202,3.200437,16.004602,69.352806,14.450013,36.3569
65,62.584866,3.250444,16.254675,70.43644,14.675795,36.924976
66,63.54771,3.3004506,16.504747,71.52008,14.901576,37.493053
67,64.51055,3.3504574,16.75482,72.603714,15.1273575,38.06113
68,65.4734,3.4004643,17.00489,73.687355,15.353139,38.629204
69,66.43624,3.4504712,17.254963,74.77099,15.57892,39.19728
70,67.399086,3.500478,17.505035,75.85463,15.804702,39.765358
71,68.36193,3.550485,17.755106,76.93826,16.030483,40.333435
72,69.324776,3.6004915,18.005178,78.021904,16.256266,40.901512
73,70.28762,3.6504984,18.25525,79.10554,16.482046,41.46959
74,71.250465,3.7005053,18.505323,80.18918,16.707829,42.037666
75,72.2133,3.7505121,18.755394,81.27281,16.933609,42.60574
76,73.17615,3.800519,19.005466,82.35645,17.159391,43.173817
77,74.13899,3.8505259,19.255539,83.440094,17.385172,43.741894
78,75.10184,3.9005327,19.50561,84.52373,17.610954,44.30997
79,76.06468,3.9505394,19.755682,85.60737,17.836735,44.878048
80,77.02753,4.0005465,20.005754,86.691,18.062517,45.446125
81,77.99037,4.0505533,20.255827,87.77464,18.288298,46.014202
82,78.95322,4.1005597,20.505898,88.85828,18.51408,46.58228
83,79.91606,4.1505666,20.75597,89.94192,18.73986,47.150352
84,80.87891,4.2005734,21.006042,91.02555,18.965643,47.71843
85,81.84175,4.2505803,21.256113,92.10919,19.191423,48.286507
86,82.80459,4.300587,21.506186,93.192825,19.417206,48.854584
87,83.76743,4.350594,21.756258,94.27647,19.642986,49.42266
88,84.73028,4.400601,22.006329,95.36011,19.868769,49.990738
89,85.69312,4.450608,22.256401,96.44374,20.09455,50.558815
90,86.65597,4.5006146,22.506474,97.52738,20.320332,51.12689
91,87.61881,4.5506215,22.756546,98.611015,20.546112,51.694965
92,88.58166,4.6006284,23.006617,99.69466,20.771894,52.263042
93,89.5445,4.6506352,23.25669,100.77829,20.997675,52.83112
94,90.50735,4.7006416,23.506762,101.86193,21.223457,53.399197
95,91.470184,4.7506485,23.756832,102.945564,21.449238,53.967274
96,92.43303,4.8006554,24.006905,104.029205,21.67502,54.53535
97,93.395874,4.850662,24.256977,105.11284,21.9008,55.103424
98,94.35872,4.900669,24.50705,106.19648,22.126583,55.6715
99,95.32156,4.950676,24.75712,107.28011,22.352364,56.23958
100,96.28441,5.000683,25.007193,108.363754,22.578146,56.807655
